transaction_id,customer_id,merchant_id,amount,timestamp,payment_method,merchant_category,is_fraud
TXN_00000000,CUST_000044,MERCH_00378,1.73,2024-01-01 02:59:14.741961,debit_card,entertainment,True
TXN_00000001,CUST_000713,MERCH_00139,4203.24,2024-12-01 01:46:14.119194,debit_card,restaurant,True
TXN_00000002,CUST_000363,MERCH_00089,1.5,2024-03-14 04:49:40.793393,credit_card,healthcare,True
TXN_00000003,CUST_000826,MERCH_00004,4.32,2024-02-17 04:05:18.310647,debit_card,travel,True
TXN_00000004,CUST_000842,MERCH_00269,24.53,2024-09-18 23:22:25.184538,credit_card,travel,True
TXN_00000005,CUST_000351,MERCH_00093,4.31,2024-12-01 04:31:10.908520,debit_card,grocery,True
TXN_00000006,CUST_000961,MERCH_00220,633.36,2024-11-04 23:55:42.949898,mobile_payment,travel,True
TXN_00000007,CUST_000489,MERCH_00087,4.15,2024-04-28 03:38:16.753309,debit_card,grocery,True
TXN_00000008,CUST_000610,MERCH_00221,4.49,2024-01-08 04:57:25.095937,bank_transfer,online,True
TXN_00000009,CUST_000639,MERCH_00433,2.36,2024-08-02 23:41:46.945676,mobile_payment,other,True
TXN_00000010,CUST_000997,MERCH_00454,1807.58,2024-11-30 04:53:00.714965,debit_card,grocery,True
TXN_00000011,CUST_000211,MERCH_00233,430.8,2024-10-09 02:27:01.906784,debit_card,gas_station,True
TXN_00000012,CUST_000557,MERCH_00450,2.4,2024-11-04 23:10:21.270696,bank_transfer,entertainment,True
TXN_00000013,CUST_000752,MERCH_00222,163.5,2024-11-10 01:27:52.298431,bank_transfer,restaurant,True
TXN_00000014,CUST_000996,MERCH_00227,55.46,2024-12-16 02:29:40.748696,bank_transfer,utilities,True
TXN_00000015,CUST_000994,MERCH_00029,268.82,2024-05-16 02:39:18.840709,debit_card,restaurant,True
TXN_00000016,CUST_000618,MERCH_00074,0.04,2024-12-09 03:14:50.459928,debit_card,healthcare,True
TXN_00000017,CUST_000008,MERCH_00093,288.41,2024-05-24 04:25:01.654391,bank_transfer,grocery,True
TXN_00000018,CUST_000639,MERCH_00036,3214.87,2024-02-06 00:02:30.518818,debit_card,other,True
TXN_00000019,CUST_000490,MERCH_00032,1480.06,2024-04-20 03:27:45.887886,bank_transfer,entertainment,True
TXN_00000020,CUST_000865,MERCH_00173,113.89,2024-02-19 00:18:59.829090,mobile_payment,gas_station,True
TXN_00000021,CUST_000711,MERCH_00496,229.29,2024-02-27 03:44:02.549427,mobile_payment,grocery,True
TXN_00000022,CUST_000733,MERCH_00219,3.06,2024-12-12 23:33:19.225982,credit_card,utilities,True
TXN_00000023,CUST_000753,MERCH_00458,610.53,2024-10-16 23:32:25.868396,credit_card,utilities,True
TXN_00000024,CUST_000631,MERCH_00381,2.87,2024-12-16 00:23:59.997229,mobile_payment,utilities,True
TXN_00000025,CUST_000327,MERCH_00393,2801.73,2024-08-24 04:49:08.857375,debit_card,online,True
TXN_00000026,CUST_000805,MERCH_00308,0.51,2024-03-04 00:00:55.431254,bank_transfer,gas_station,True
TXN_00000027,CUST_000466,MERCH_00216,0.97,2024-12-19 04:11:15.978763,credit_card,online,True
TXN_00000028,CUST_000637,MERCH_00130,5309.46,2024-09-10 04:35:20.720554,credit_card,travel,True
TXN_00000029,CUST_000214,MERCH_00443,3.37,2024-12-05 04:41:02.510564,debit_card,healthcare,True
TXN_00000030,CUST_000903,MERCH_00195,4.77,2024-10-14 03:02:53.171294,mobile_payment,other,True
TXN_00000031,CUST_000248,MERCH_00481,316.93,2024-03-22 04:33:28.780093,mobile_payment,other,True
TXN_00000032,CUST_000151,MERCH_00227,2531.39,2024-08-02 02:12:12.112776,debit_card,utilities,True
TXN_00000033,CUST_000805,MERCH_00278,1395.37,2024-03-05 01:04:49.003372,debit_card,grocery,True
TXN_00000034,CUST_000609,MERCH_00186,1.78,2024-04-21 03:46:17.359140,bank_transfer,restaurant,True
TXN_00000035,CUST_000879,MERCH_00313,1.76,2024-09-08 00:14:46.791193,mobile_payment,travel,True
TXN_00000036,CUST_000614,MERCH_00148,1113.83,2024-02-16 23:34:18.029922,debit_card,entertainment,True
TXN_00000037,CUST_000005,MERCH_00113,90.42,2024-09-23 00:33:33.026398,mobile_payment,travel,True
TXN_00000038,CUST_000021,MERCH_00062,4696.91,2024-12-12 04:23:01.654722,debit_card,healthcare,True
TXN_00000039,CUST_000903,MERCH_00442,1991.0,2024-12-12 03:35:45.169027,credit_card,travel,True
TXN_00000040,CUST_000371,MERCH_00371,86.5,2024-05-22 04:25:42.610626,credit_card,online,True
TXN_00000041,CUST_000815,MERCH_00079,388.31,2024-12-28 23:55:12.804950,bank_transfer,retail,True
TXN_00000042,CUST_000583,MERCH_00318,158.2,2024-12-18 01:00:40.740908,mobile_payment,travel,True
TXN_00000043,CUST_000259,MERCH_00362,1.78,2024-01-12 01:40:22.180949,bank_transfer,utilities,True
TXN_00000044,CUST_000347,MERCH_00252,210.32,2024-08-07 04:55:29.016734,debit_card,grocery,True
TXN_00000045,CUST_000505,MERCH_00439,1.87,2024-12-02 03:17:41.192961,credit_card,restaurant,True
TXN_00000046,CUST_000653,MERCH_00257,4.58,2024-12-19 03:34:39.237584,bank_transfer,healthcare,True
TXN_00000047,CUST_000055,MERCH_00372,136.4,2024-03-21 00:02:32.617782,mobile_payment,restaurant,True
TXN_00000048,CUST_000597,MERCH_00395,4.0,2024-07-25 02:13:12.561651,mobile_payment,retail,True
TXN_00000049,CUST_000271,MERCH_00461,2.15,2024-12-07 04:23:06.257527,credit_card,grocery,True
TXN_00000050,CUST_000909,MERCH_00159,399.82,2024-02-21 04:02:09.257933,credit_card,grocery,True
TXN_00000051,CUST_000944,MERCH_00206,34.46,2024-09-29 00:12:27.195024,mobile_payment,utilities,True
TXN_00000052,CUST_000023,MERCH_00252,3.95,2024-03-27 04:50:39.495511,credit_card,grocery,True
TXN_00000053,CUST_000020,MERCH_00037,104.23,2024-12-24 04:38:44.798199,bank_transfer,other,True
TXN_00000054,CUST_000070,MERCH_00112,4.74,2024-03-02 02:41:37.574678,credit_card,travel,True
TXN_00000055,CUST_000233,MERCH_00146,162.67,2024-11-19 02:24:19.511069,mobile_payment,grocery,True
TXN_00000056,CUST_000348,MERCH_00301,2.1,2024-02-02 23:14:23.532412,debit_card,entertainment,True
